TOWN,Year,kWh Usage: Commercial,kWh Usage: Residential,kWh Savings: Commercial,kWh Savings: Residential,Number of Households,Average Residential kWh Usage/ Household,Average Residential kWh Savings/ Household,Savings as % of Usage,MMBtu Savings: Commercial,MMBtu Savings: Residential
STRATTON,01/01/2010 12:00:00 AM,18883832,9848399,851770,49393,1352,7284,37,1%,8372,-24
SUDBURY,01/01/2010 12:00:00 AM,49310,1111271,0,16677,206,5395,81,2%,0,48
SUNDERLAND,01/01/2010 12:00:00 AM,990282,3062738,3150,5503,448,6836,12,0%,-2,5
SUTTON,01/01/2010 12:00:00 AM,2981714,2980591,3359,38080,441,6759,86,1%,-2,-2
SWANTON,01/01/2010 12:00:00 AM,1520263,5737466,1349612,781896,3155,1819,248,14%,201,409
THETFORD,01/01/2010 12:00:00 AM,3676735,9030505,11139,144724,1291,6995,112,2%,3,635
TINMOUTH,01/01/2010 12:00:00 AM,98282,1294414,118,8233,206,6284,40,1%,0,0
TOPSHAM,01/01/2010 12:00:00 AM,11791,660193,1170,45123,91,7255,496,7%,-1,149
TOWNSHEND,01/01/2010 12:00:00 AM,3553080,5033204,41730,90867,791,6363,115,2%,27,105
TROY,01/01/2010 12:00:00 AM,3672093,5270810,75037,153557,789,6680,195,3%,-52,48
TUNBRIDGE,01/01/2010 12:00:00 AM,1002561,4367118,106,63697,712,6134,89,1%,26,-7
UNDERHILL,01/01/2010 12:00:00 AM,1269527,9708570,5829,310030,1241,7823,250,3%,191,136
VERGENNES,01/01/2010 12:00:00 AM,16435903,10586354,392147,460562,1295,8175,356,4%,-59,121
VERNON,01/01/2010 12:00:00 AM,10288149,7772330,67399,52905,867,8965,61,1%,-42,22
VERSHIRE,01/01/2010 12:00:00 AM,310322,1954537,0,31212,368,5311,85,2%,0,108
VICTORY,01/01/2010 12:00:00 AM,17772,215188,697,1532,62,3471,25,1%,0,0
WAITSFIELD,01/01/2010 12:00:00 AM,7483047,7800031,62594,269455,1107,7046,243,3%,98,279
WALDEN,01/01/2010 12:00:00 AM,3011,159029,0,4235,28,5680,151,3%,0,0
WALLINGFORD,01/01/2010 12:00:00 AM,3548372,8376389,1059,129806,1135,7380,114,2%,0,20
WALTHAM,01/01/2010 12:00:00 AM,47858,1915308,0,22126,210,9121,105,1%,0,0
WARDSBORO,01/01/2010 12:00:00 AM,573475,4704474,15343,60524,828,5682,73,1%,-12,122
WARREN,01/01/2010 12:00:00 AM,20475889,14901153,938336,198941,2212,6737,90,1%,-75,307
WASHINGTON,01/01/2010 12:00:00 AM,445281,3506944,13949,43109,490,7157,88,1%,0,10
WATERBURY,01/01/2010 12:00:00 AM,38515501,19340359,704620,689707,2817,6866,245,4%,4179,613
WATERFORD,01/01/2010 12:00:00 AM,1720452,2125275,31293,28747,283,7510,102,1%,-12,-6
WATERVILLE,01/01/2010 12:00:00 AM,272285,2077777,17436,32031,323,6433,99,2%,-17,-3
WEATHERSFIELD,01/01/2010 12:00:00 AM,3207858,10005604,3439,76909,1390,7198,55,1%,-2,134
WELLS,01/01/2010 12:00:00 AM,661851,5050343,0,34825,822,6144,42,1%,0,4
WEST FAIRLEE,01/01/2010 12:00:00 AM,382357,2088271,0,9656,320,6526,30,0%,0,2
WEST HAVEN,01/01/2010 12:00:00 AM,36868,592313,532,20750,64,9255,324,4%,4,6
WEST RUTLAND,01/01/2010 12:00:00 AM,5423439,7536662,43500,154317,1081,6972,143,2%,-19,196
WEST WINDSOR,01/01/2010 12:00:00 AM,2761753,4678371,1772,45820,661,7078,69,1%,0,71
WESTFIELD,01/01/2010 12:00:00 AM,679094,2110701,4957,27781,318,6637,87,1%,-4,-2
WESTFORD,01/01/2010 12:00:00 AM,640803,6794475,7371,152523,829,8196,184,2%,1,306
WESTMINSTER,01/01/2010 12:00:00 AM,5689199,10059367,182942,94090,1330,7563,71,1%,-39,295
WESTMORE,01/01/2010 12:00:00 AM,154720,605520,0,1865,247,2451,8,0%,0,0
WESTON,01/01/2010 12:00:00 AM,1204306,3640262,56470,46634,555,6559,84,1%,213,164
WEYBRIDGE,01/01/2010 12:00:00 AM,123808,676563,12521,3209,85,7960,38,0%,0,77
WHEELOCK,01/01/2010 12:00:00 AM,137821,475540,0,2584,74,6426,35,1%,0,0
WHITING,01/01/2010 12:00:00 AM,224341,1769852,7401,68478,173,10230,396,4%,16,-6
WHITINGHAM,01/01/2010 12:00:00 AM,767457,3021554,0,7158,488,6192,15,0%,0,1
WILLIAMSTOWN,01/01/2010 12:00:00 AM,4008438,10929607,118769,163547,1420,7697,115,1%,-108,112
WILLISTON,01/01/2010 12:00:00 AM,87194380,26451102,2560524,1064318,3490,7579,305,4%,-496,657
WILMINGTON,01/01/2010 12:00:00 AM,7515699,18137699,27548,142230,2610,6949,54,1%,4,317
WINDHAM,01/01/2010 12:00:00 AM,170497,1538037,0,11793,290,5304,41,1%,0,18
WINDSOR,01/01/2010 12:00:00 AM,15366147,10951199,102895,318101,1656,6613,192,3%,155,-51
WINHALL,01/01/2010 12:00:00 AM,1374496,11908312,0,11815,1316,9049,9,0%,0,132
WINOOSKI,01/01/2010 12:00:00 AM,27273836,17194850,1218115,658907,2997,5737,220,4%,120,-33
WOLCOTT,01/01/2010 12:00:00 AM,1102346,4802345,109,107773,721,6661,149,2%,0,31
WOODBURY,01/01/2010 12:00:00 AM,360148,2671130,5028,40597,425,6285,96,2%,-2,228
WOODFORD,01/01/2010 12:00:00 AM,401441,901900,24708,5014,211,4274,24,1%,-23,-4
WOODSTOCK,01/01/2010 12:00:00 AM,15916428,13185003,506529,140768,1862,7081,76,1%,-348,214
WORCESTER,01/01/2010 12:00:00 AM,491242,3159796,2054,62630,482,6556,130,2%,0,128
ADDISON,01/01/2009 12:00:00 AM,2953842,3567974,9001.5,83382,468,7624,178,2%,-5,123
ALBANY ,01/01/2009 12:00:00 AM,513794,2833630,13188.7,17747,483,5867,37,1%,-7,0
ALBURG,01/01/2009 12:00:00 AM,3602862,7925249,1844.2,70500,1345,5892,52,1%,-2,-5
ANDOVER,01/01/2009 12:00:00 AM,30857,1612016,629.5,6689,272,5927,25,0%,0,63
ARLINGTON,01/01/2009 12:00:00 AM,17399484,10432315,118497.7,273584,1455,7170,188,3%,-81,-44
ATHENS,01/01/2009 12:00:00 AM,66977,497735,0,701,90,5530,8,0%,0,0
AVERILL,01/01/2009 12:00:00 AM,30320,77873,0,0,48,1622,0,0%,0,0
BAKERSFIELD,01/01/2009 12:00:00 AM,496846,2921817,0,44315,393,7435,113,2%,0,-3
BALTIMORE,01/01/2009 12:00:00 AM,6686,240694,223.1,578,30,8023,19,0%,0,1
BARNARD,01/01/2009 12:00:00 AM,1271039,4385652,2877,17123,631,6950,27,0%,-3,1
BARNET,01/01/2009 12:00:00 AM,1653181,5528567,2028.5,71783,866,6384,83,1%,0,-7
BARRE,01/01/2009 12:00:00 AM,55249137,54601627,824098.5,1409204,8042,6790,175,3%,-364,356
BARTON,01/01/2009 12:00:00 AM,3901404,6969356,18.6,67079,1405,4960,48,1%,0,10
BELVIDERE,01/01/2009 12:00:00 AM,66922,944877,0,9363,182,5192,51,1%,0,0
BENNINGTON,01/01/2009 12:00:00 AM,97677961,42734109,1466944.1,1165645,6358,6721,183,3%,753,267
BENSON,01/01/2009 12:00:00 AM,571927,1499476,51531.3,61800,268,5595,231,4%,-17,-13
BERKSHIRE ,01/01/2009 12:00:00 AM,2728117,4717618,43983.3,13212,603,7824,22,0%,0,2
BERLIN,01/01/2009 12:00:00 AM,37021775,7247946,511745.2,220397,993,7299,222,3%,-367,375
BETHEL,01/01/2009 12:00:00 AM,15072085,6342164,323052.6,59962,944,6718,64,1%,-332,91
BLOOMFIELD,01/01/2009 12:00:00 AM,209658,740998,0,5956,142,5218,42,1%,0,0
BOLTON,01/01/2009 12:00:00 AM,2767796,4067392,85036.7,16306,571,7123,29,0%,505,49
BRADFORD,01/01/2009 12:00:00 AM,9045265,8063627,87549.7,273145,1222,6599,224,3%,-47,-55
BRAINTREE,01/01/2009 12:00:00 AM,415502,1133901,47.3,37628,182,6230,207,3%,0,-10
BRANDON,01/01/2009 12:00:00 AM,12171904,17506258,25876.4,256451,2284,7665,112,1%,45,29
BRATTLEBORO,01/01/2009 12:00:00 AM,128907042,38740891,1198668.8,1210270,6254,6195,194,3%,-106,1282
BRIDGEWATER,01/01/2009 12:00:00 AM,3541826,3986400,44977,12830,573,6957,22,0%,1,1
BRIDPORT,01/01/2009 12:00:00 AM,1517430,5709005,11202.6,64156,551,10361,116,1%,171,117
BRISTOL,01/01/2009 12:00:00 AM,9224390,14636732,79162.5,301881,2067,7081,146,2%,-66,248
BROOKFIELD,01/01/2009 12:00:00 AM,554950,4210646,2217.4,49904,568,7413,88,1%,-2,128
BROOKLINE,01/01/2009 12:00:00 AM,55766,839343,40.6,1463,160,5246,9,0%,0,1
BROWNINGTON,01/01/2009 12:00:00 AM,641286,2186314,94.6,7118,348,6283,20,0%,0,64
BRUNSWICK,01/01/2009 12:00:00 AM,259545,274305,175.9,778,48,5715,16,0%,0,0
BUELS GORE,01/01/2009 12:00:00 AM,0,14937,0,401,5,2987,80,3%,0,0
BURKE,01/01/2009 12:00:00 AM,1980679,7809729,0,94592,1362,5734,69,1%,0,229
BURLINGTON,01/01/2009 12:00:00 AM,261050319,85581711,3683000,1698000,16101,5315,105,2%,136,57
CABOT,01/01/2009 12:00:00 AM,12672743,3536468,408166.3,36910,481,7352,77,1%,-96,-2
CALAIS,01/01/2009 12:00:00 AM,373952,3611446,223.1,85560,600,6019,143,2%,0,495
CAMBRIDGE,01/01/2009 12:00:00 AM,11880871,14782358,37096.2,346829,2089,7076,166,2%,-4,316
CANAAN ,01/01/2009 12:00:00 AM,9006269,3027129,650.3,14658,545,5554,27,0%,0,0
CASTLETON,01/01/2009 12:00:00 AM,11243764,12639181,494658.1,139871,1844,6854,76,1%,1118,87
CAVENDISH,01/01/2009 12:00:00 AM,4580293,3761458,1473.1,35788,598,6290,60,1%,0,20
CHARLESTON,01/01/2009 12:00:00 AM,1188859,3395369,5747.7,40677,589,5765,69,1%,0,-6
CHARLOTTE,01/01/2009 12:00:00 AM,3012041,15324571,20891.5,369037,1732,8848,213,2%,-20,184
CHELSEA,01/01/2009 12:00:00 AM,2050594,3791243,916.3,46231,607,6246,76,1%,0,194
CHESTER,01/01/2009 12:00:00 AM,7210983,14117481,13280.8,138962,2001,7055,69,1%,-1,225
CHITTENDEN,01/01/2009 12:00:00 AM,1171511,4858739,974.3,39503,642,7568,62,1%,0,89
CLARENDON,01/01/2009 12:00:00 AM,11832202,9171225,568629,102022,1139,8052,90,1%,-542,63
COLCHESTER,01/01/2009 12:00:00 AM,80126375,48696069,1212451.7,2911174,7051,6906,413,6%,5428,808
CONCORD,01/01/2009 12:00:00 AM,1060987,5609366,38060.7,47313,850,6599,56,1%,-35,0
CORINTH,01/01/2009 12:00:00 AM,750321,5160349,5724.7,76987,806,6402,96,1%,-6,117
CORNWALL,01/01/2009 12:00:00 AM,264130,1423875,710.8,5968,156,9127,38,0%,0,84
COVENTRY,01/01/2009 12:00:00 AM,2381393,3358212,13297.3,28976,474,7085,61,1%,0,60
CRAFTSBURY,01/01/2009 12:00:00 AM,967830,3715403,5331.6,73131,552,6731,132,2%,-6,56
DANBY,01/01/2009 12:00:00 AM,2968836,5821360,525.1,30073,758,7680,40,1%,0,111
DANVILLE,01/01/2009 12:00:00 AM,3177495,9181409,20115,127022,1257,7304,101,1%,-3,-16
DERBY,01/01/2009 12:00:00 AM,22123462,14770740,186359.6,254377,2384,6196,107,2%,-65,51
DORSET,01/01/2009 12:00:00 AM,3777493,12668956,368183.3,157639,1373,9227,115,1%,36,1016
DOVER,01/01/2009 12:00:00 AM,22765966,19678619,40083.3,94294,3088,6373,31,0%,0,54
DUMMERSTON,01/01/2009 12:00:00 AM,2112675,6165378,270.4,38435,818,7537,47,1%,0,243
DUXBURY,01/01/2009 12:00:00 AM,538653,1071461,40.6,20160,181,5920,111,2%,0,31
EAST HAVEN,01/01/2009 12:00:00 AM,68808,873460,0,7909,147,5942,54,1%,0,-1
EAST MONTPELIER,01/01/2009 12:00:00 AM,2374046,5990550,40301.9,126002,783,7651,161,2%,-2,417
EDEN,01/01/2009 12:00:00 AM,619824,3870338,26729.7,31788,659,5873,48,1%,-30,123
ELMORE,01/01/2009 12:00:00 AM,4990,352019,0,9092,61,5771,149,3%,0,59
ENOSBURG FALLS,01/01/2009 12:00:00 AM,11311450,12180741,106305.4,533727,1493,8159,357,4%,-63,138
ESSEX,01/01/2009 12:00:00 AM,37461060,24561712,1581553.4,565411,3231,7602,175,2%,171,-37
ESSEX JUNCTION,01/01/2009 12:00:00 AM,28075265,31415140,4772578.2,1059811,4638,6773,229,3%,1086,-173
FAIR HAVEN,01/01/2009 12:00:00 AM,8636331,11983425,20186.5,179138,1466,8174,122,1%,-9,5
FAIRFAX,01/01/2009 12:00:00 AM,4678859,13303910,117238.6,357319,1733,7677,206,3%,-19,421
FAIRFIELD,01/01/2009 12:00:00 AM,2438742,7191123,47350,141908,875,8218,162,2%,0,112
FAIRLEE,01/01/2009 12:00:00 AM,5431548,3516983,132790.1,45189,570,6170,79,1%,-12,60
FAYSTON,01/01/2009 12:00:00 AM,0,5545,710.8,33170,590,9,56,598%,0,160
FERDINAND,01/01/2009 12:00:00 AM,21372,90687,0,515,20,4534,26,1%,0,0
FERRISBURGH,01/01/2009 12:00:00 AM,6943365,11455103,208704.2,196412,1454,7878,135,2%,73,126
FLETCHER,01/01/2009 12:00:00 AM,469313,4251388,109.4,14594,560,7592,26,0%,0,33
FRANKLIN,01/01/2009 12:00:00 AM,2289161,4537622,43935,58589,771,5885,76,1%,0,-7
GEORGIA,01/01/2009 12:00:00 AM,24998220,13755018,100067.8,128402,1664,8266,77,1%,-93,219
GLOVER,01/01/2009 12:00:00 AM,1376075,3630171,11244.2,36127,706,5142,51,1%,1,105
GOSHEN,01/01/2009 12:00:00 AM,95786,190365,0,643,44,4326,15,0%,0,0
GRAFTON,01/01/2009 12:00:00 AM,1456223,3088646,49618.7,29761,460,6714,65,1%,22,90
GRANBY,01/01/2009 12:00:00 AM,11017,259012,0,163,55,4709,3,0%,0,0
GRAND ISLE,01/01/2009 12:00:00 AM,3976566,7608130,52533.2,105829,1110,6854,95,1%,-9,139
GRANVILLE,01/01/2009 12:00:00 AM,102368,1216637,0,7635,215,5659,36,1%,0,0
GREENSBORO,01/01/2009 12:00:00 AM,1724483,3168850,21174.3,104649,477,6643,219,3%,-8,18
GROTON,01/01/2009 12:00:00 AM,502076,3154275,0,18208,498,6334,37,1%,0,0
GUILDHALL,01/01/2009 12:00:00 AM,209609,854215,0,9600,131,6521,73,1%,0,-1
GUILFORD,01/01/2009 12:00:00 AM,711347,2046881,14370,22283,330,6203,68,1%,-1,114
HALIFAX,01/01/2009 12:00:00 AM,291949,2856808,0,15147,501,5702,30,1%,0,-7
HANCOCK,01/01/2009 12:00:00 AM,333237,1304249,828.3,3511,204,6393,17,0%,0,1
HARDWICK,01/01/2009 12:00:00 AM,5083067,11119613,76622,340998,1666,6674,205,3%,0,58
HARTFORD,01/01/2009 12:00:00 AM,56378522,41524513,1072523.9,554186,5606,7407,99,1%,629,355
HARTLAND,01/01/2009 12:00:00 AM,2642778,11197164,57926.1,85418,1508,7425,57,1%,-59,150
HIGHGATE,01/01/2009 12:00:00 AM,9693300.02,11536644,19851.4,173718,1511,7635,115,2%,-10,161
HINESBURG,01/01/2009 12:00:00 AM,7256471,13698115,258416.9,197754,1872,7317,106,1%,1557,400
HOLLAND,01/01/2009 12:00:00 AM,1094132,2048234,226.3,4145,368,5566,11,0%,0,1
HUBBARDTON,01/01/2009 12:00:00 AM,437901,2768969,0,14543,518,5346,28,1%,0,0
HUNTINGTON,01/01/2009 12:00:00 AM,594277,5721920,-456,76658,810,7064,95,1%,55,101
HYDE PARK,01/01/2009 12:00:00 AM,3324012,9296636,73867.8,269293,1334,6969,202,3%,-29,96
IRA,01/01/2009 12:00:00 AM,90942,1415160,1758.3,5599,183,7733,31,0%,0,0
IRASBURG,01/01/2009 12:00:00 AM,2399889,3379862,363.3,32251,476,7101,68,1%,0,-3
ISLAND POND,01/01/2009 12:00:00 AM,2059477,3725578,4971.7,88644,834,4467,106,2%,0,-25
ISLE LA MOTTE,01/01/2009 12:00:00 AM,685613,2520806,131.8,5932,461,5468,13,0%,0,1
JAMAICA,01/01/2009 12:00:00 AM,1187445,6781567,39505.6,44091,1016,6675,43,1%,-36,63
JAY,01/01/2009 12:00:00 AM,5737268,3040663,2892.3,221750,642,4736,345,7%,-4,61
JERICHO,01/01/2009 12:00:00 AM,5702759,15249432,17758.6,327000,1916,7959,171,2%,-81,218
JOHNSON,01/01/2009 12:00:00 AM,9485713,9019164,102321.2,205448,1311,6880,157,2%,-75,32
KILLINGTON,01/01/2009 12:00:00 AM,36692649,17128890,197209.6,262616,2566,6675,102,2%,908,-62
LANDGROVE,01/01/2009 12:00:00 AM,170786,1222994,0,1923,127,9630,15,0%,0,85
LEICESTER,01/01/2009 12:00:00 AM,173126,2123980,1837.3,12736,360,5900,35,1%,-2,3
LEMINGTON,01/01/2009 12:00:00 AM,9433,412343,0,81,72,5727,1,0%,0,0
LINCOLN,01/01/2009 12:00:00 AM,229748,886037,0,11148,151,5868,74,1%,0,57
LONDONDERRY,01/01/2009 12:00:00 AM,4787495,10730078,36748.9,189456,1431,7498,132,2%,-30,85
LOWELL,01/01/2009 12:00:00 AM,383582,2727091,354.9,34395,407,6700,85,1%,0,-3
LUDLOW,01/01/2009 12:00:00 AM,27103211.7,19069949,179043.6,351699,3716,5132,95,2%,-36,-69
LUNENBURG,01/01/2009 12:00:00 AM,704050,4655380,0,19031,761,6117,25,0%,0,2
LYNDON,01/01/2009 12:00:00 AM,26596700,16895419,173175.8,287048,2565,6587,112,2%,987,-26
MAIDSTONE,01/01/2009 12:00:00 AM,158867,1020632,0,1780,266,3837,7,0%,0,0
MANCHESTER,01/01/2009 12:00:00 AM,32230628,21245487,1201487.1,614969,2540,8364,242,3%,-791,378
MARLBORO,01/01/2009 12:00:00 AM,1248626,2730788,4139.1,65010,497,5495,131,2%,-3,149
MARSHFIELD,01/01/2009 12:00:00 AM,1309892,4505116,40.6,81730,708,6363,115,2%,0,239
MENDON,01/01/2009 12:00:00 AM,1249630,2583548,18987.7,41595,389,6642,107,2%,-17,2
MIDDLEBURY,01/01/2009 12:00:00 AM,82786420,24646984,965457.7,709448,3491,7060,203,3%,8710,81
MIDDLESEX,01/01/2009 12:00:00 AM,787020,1862602,149487.6,42280,253,7362,167,2%,-58,583
MIDDLETOWN SPRINGS,01/01/2009 12:00:00 AM,399846,2666350,1487,34540,393,6785,88,1%,0,107
MILTON,01/01/2009 12:00:00 AM,32025718,32653197,846203,801409,4211,7754,190,2%,-24,390
MONKTON,01/01/2009 12:00:00 AM,744465,6773820,19639.9,62164,811,8352,77,1%,-16,115
MONTGOMERY,01/01/2009 12:00:00 AM,1502219,4086938,1464.3,105744,703,5814,150,3%,-1,12
MONTPELIER,01/01/2009 12:00:00 AM,56105680,27808949,1535823,1100560,4801,5792,229,4%,2953,4073
MORETOWN,01/01/2009 12:00:00 AM,2373197,6057968,5286.2,131073,932,6500,141,2%,-5,177
MORGAN,01/01/2009 12:00:00 AM,528993,2805165,0,35836,679,4131,53,1%,0,-5
MORRISTOWN,01/01/2009 12:00:00 AM,23088266.5,17777105,266367.8,657057,2786,6381,236,4%,-207,158
MOUNT HOLLY,01/01/2009 12:00:00 AM,596021,6111298,1160.9,59775,994,6148,60,1%,0,6
MOUNT TABOR,01/01/2009 12:00:00 AM,203313,453432,0,1258,61,7433,21,0%,0,0
NEW HAVEN,01/01/2009 12:00:00 AM,3234395,6660586,96558.8,105813,728,9149,145,2%,-8,-15
NEWARK,01/01/2009 12:00:00 AM,1748,270932,162.5,8261,92,2945,90,3%,0,-1
NEWBURY,01/01/2009 12:00:00 AM,3686989,6893676,1065.8,117155,1173,5877,100,2%,-1,-18
NEWFANE,01/01/2009 12:00:00 AM,1399017,7529920,56998.9,109430,1157,6508,95,1%,-51,219
NEWPORT,01/01/2009 12:00:00 AM,32469255,17381977,459169.7,570068,2899,5996,197,3%,137,-52
NORTH HERO,01/01/2009 12:00:00 AM,1388656,4482984,3177.5,41579,874,5129,48,1%,-2,-4
NORTHFIELD,01/01/2009 12:00:00 AM,25098333,13752088,416359.6,311143,2146,6408,145,2%,1986,370
NORTON,01/01/2009 12:00:00 AM,382792,673849,0,4085,184,3662,22,1%,0,0
NORWICH,01/01/2009 12:00:00 AM,3828458,12574202,1722,119604,1583,7943,76,1%,-1,723
ORANGE,01/01/2009 12:00:00 AM,671176,325997,1672,3778,46,7087,82,1%,0,60
ORLEANS,01/01/2009 12:00:00 AM,7118914,5058824,77917,90688,816,6200,111,2%,-22,-10
ORWELL,01/01/2009 12:00:00 AM,1044689,5075446,7921.5,51094,603,8417,85,1%,-8,-4
PANTON,01/01/2009 12:00:00 AM,1095982,2797501,0,25515,276,10136,92,1%,0,113
PAWLET,01/01/2009 12:00:00 AM,1962503,6317129,0,44436,733,8618,61,1%,0,45
PEACHAM,01/01/2009 12:00:00 AM,382809,2108870,81.2,22872,338,6239,68,1%,0,189
PERU,01/01/2009 12:00:00 AM,5112184,9386314,98471.1,85359,1065,8813,80,1%,249,6
PITTSFIELD,01/01/2009 12:00:00 AM,1554865,2778459,140122.5,18810,417,6663,45,1%,-3,0
PITTSFORD,01/01/2009 12:00:00 AM,2465681,8632900,5727.1,162403,1243,6945,131,2%,-3,-11
PLAINFIELD,01/01/2009 12:00:00 AM,1679426,4803805,44786.5,97677,774,6206,126,2%,-26,800
PLYMOUTH,01/01/2009 12:00:00 AM,1362394,5109156,3832.7,46330,647,7897,72,1%,-3,17
POMFRET,01/01/2009 12:00:00 AM,928805,4148178,325.1,37881,538,7710,70,1%,0,111
POULTNEY,01/01/2009 12:00:00 AM,9851688,12750085,40681.1,78882,1850,6892,43,1%,-27,57
POWNAL,01/01/2009 12:00:00 AM,2574169,11606464,26897.2,92354,1532,7576,60,1%,-25,58
PROCTOR,01/01/2009 12:00:00 AM,2698095.912,8075957,4697.6,53357,1285,6285,42,1%,-1,59
PUTNEY,01/01/2009 12:00:00 AM,26993393,8155518,695415.8,286856,1189,6859,241,4%,432,257
RANDOLPH,01/01/2009 12:00:00 AM,33623226,17472414,170032.5,369311,2434,7178,152,2%,-69,246
READING,01/01/2009 12:00:00 AM,680310,2813929,1516.2,21657,398,7070,54,1%,0,-3
READSBORO,01/01/2009 12:00:00 AM,1338604,5012240,1243.8,26338,944,5310,28,1%,-1,176
RICHFORD,01/01/2009 12:00:00 AM,11430428,6493006,69020.3,226444,1015,6397,223,3%,-28,-33
RICHMOND,01/01/2009 12:00:00 AM,5385400,13169921,35253.6,322023,1708,7711,189,2%,65,403
RIPTON,01/01/2009 12:00:00 AM,831101,1791905,673.7,71852,290,6179,248,4%,0,55
ROCHESTER,01/01/2009 12:00:00 AM,1828483,4464139,19248.7,40087,738,6049,54,1%,3,21
ROCKINGHAM,01/01/2009 12:00:00 AM,17242761,15927950,150744.7,180240,2348,6784,77,1%,290,0
ROXBURY,01/01/2009 12:00:00 AM,376034,1632038,0,23259,242,6744,96,1%,0,-3
ROYALTON,01/01/2009 12:00:00 AM,8717690,8613434,105234.9,63811,1370,6287,47,1%,-41,97
RUPERT,01/01/2009 12:00:00 AM,393886,3515744,0,13181,422,8331,31,0%,0,-2
RUTLAND,01/01/2009 12:00:00 AM,171381321,62782443,5814959.4,1807707,9027,6955,200,3%,-3420,55
RUTLAND TOWN,01/01/2009 12:00:00 AM,3554635,1349673,262454.8,22348,201,6715,111,2%,-272,-5
RYEGATE,01/01/2009 12:00:00 AM,1011347,4103689,0,43178,585,7015,74,1%,0,63
SALISBURY,01/01/2009 12:00:00 AM,1344383,4704231,0,70760,609,7725,116,2%,0,151
SANDGATE,01/01/2009 12:00:00 AM,29390,757986,0,1778,159,4767,11,0%,0,0
SEARSBURG,01/01/2009 12:00:00 AM,66349,417735,0,41,81,5157,1,0%,0,0
SHAFTSBURY,01/01/2009 12:00:00 AM,5236495,12775594,182863.7,165511,1657,7710,100,1%,-98,30
SHARON,01/01/2009 12:00:00 AM,1823295,4668021,1003.4,22708,661,7062,34,0%,0,43
SHEFFIELD,01/01/2009 12:00:00 AM,257404,2117609,546.2,21034,316,6701,67,1%,0,62
SHELBURNE,01/01/2009 12:00:00 AM,25780694,24409693,672179.9,615621,2787,8758,221,3%,-454,637
SHELDON,01/01/2009 12:00:00 AM,61050046,7027838,618902.3,114232,782,8987,146,2%,-7,36
SHOREHAM,01/01/2009 12:00:00 AM,2860600,5259473,34570.6,50339,597,8810,84,1%,-6,8
SHREWSBURY,01/01/2009 12:00:00 AM,617462,4107137,777.7,38877,539,7620,72,1%,1,124
SOMERSET,01/01/2009 12:00:00 AM,0,3190,0,0,2,1595,0,0%,0,0
SOUTH BURLINGTON,01/01/2009 12:00:00 AM,174124180,51222208,2695286.8,2355946,7807,6561,302,5%,2916,649
SOUTH HERO,01/01/2009 12:00:00 AM,2651531,6731499,24726.6,82273,1028,6548,80,1%,-13,126
SPRINGFIELD,01/01/2009 12:00:00 AM,41906128,28026348,918401.8,199034,4132,6783,48,1%,-279,243
ST. ALBANS,01/01/2009 12:00:00 AM,113341292,36785120,2080414.2,1283832,5739,6410,224,3%,1881,308
ST. GEORGE,01/01/2009 12:00:00 AM,466903,2196267,0,108425,293,7496,370,5%,0,39
ST. JOHNSBURY,01/01/2009 12:00:00 AM,60419503,23605424,1143808.9,583866,3658,6453,160,2%,-443,180
STAMFORD,01/01/2009 12:00:00 AM,705769,2927968,0,244,414,7072,1,0%,0,0
STANNARD,01/01/2009 12:00:00 AM,0,146173,0,2051,20,7309,103,1%,0,0
STARKSBORO,01/01/2009 12:00:00 AM,755403,6018530,6672.8,42753,788,7638,54,1%,-6,154
STOCKBRIDGE,01/01/2009 12:00:00 AM,670595,3375824,0,14528,501,6738,29,0%,0,1
STOWE,01/01/2009 12:00:00 AM,39369612,23861608,844273.1,354405,3668,6505,97,1%,5317,120
STRAFFORD,01/01/2009 12:00:00 AM,715276,3375674,18650,16765,530,6369,32,0%,-20,18
STRATTON,01/01/2009 12:00:00 AM,17415237,9633227,395795.3,8407,1314,7331,6,0%,105,0
SUDBURY,01/01/2009 12:00:00 AM,54693,1171240,0,6962,198,5915,35,1%,0,109
SUNDERLAND,01/01/2009 12:00:00 AM,916302,3066708,46580.3,7556,448,6845,17,0%,-24,3
SUTTON,01/01/2009 12:00:00 AM,5360000,2971001,32381.3,45414,438,6783,104,2%,-19,-7
SWANTON,01/01/2009 12:00:00 AM,27035030,20316968,299525.1,506730,3029,6707,167,2%,1317,240
THETFORD,01/01/2009 12:00:00 AM,3551765,9099415,5356.6,77194,1310,6946,59,1%,-5,286
TINMOUTH,01/01/2009 12:00:00 AM,65390,1316366,0,7990,197,6682,41,1%,0,2
TOPSHAM,01/01/2009 12:00:00 AM,128021,1981098,0,39491,325,6096,122,2%,0,51
TOWNSHEND,01/01/2009 12:00:00 AM,3555354,5003903,51323.5,55959,793,6310,71,1%,-44,-7
TROY,01/01/2009 12:00:00 AM,3019596,5449763,31649.8,122857,812,6712,151,2%,-1,-15
TUNBRIDGE,01/01/2009 12:00:00 AM,931850,3768429,203.6,21139,585,6442,36,1%,0,63
UNDERHILL,01/01/2009 12:00:00 AM,1234136,9727605,1568.3,274383,1246,7807,220,3%,166,161
VERGENNES,01/01/2009 12:00:00 AM,16345450,10404291,74864.3,303051,1300,8003,233,3%,-73,93
VERNON,01/01/2009 12:00:00 AM,9742227,7549980,295.6,53255,870,8678,61,1%,0,14
