Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
13A300671,02/15/2013 12:00:00 AM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Property,Middlesex,Washington,Washington,23V1201,VSP: Middlesex,Male,21,1
13C300443,02/16/2013 04:25:00 AM,VSP: Shaftsbury,Accident - Injury|Drive/Operate Under Influence|Traffic Stop,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,24,1
13D300699,02/17/2013 07:06:00 AM,VSP: Royalton,Accident - Injury|C&N Operation|DLS|Accident - Property|Drive/Operate Under Influence|Liquor Violations|Other,Randolph,Orange,Orange,23V1201,VSP: Royalton,Male,20,1
13C200630,02/21/2013 05:19:00 PM,VSP: New Haven,Drive/Operate Under Influence|Accident - Property|C&N Operation,Addison,Addison,Addison,23V1201,VSP: New Haven,Male,34,1
13A200897,02/23/2013 08:09:00 PM,VSP: Saint Albans,Accident - Property|Drive/Operate Under Influence,Highgate,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,49,1
13A200904,02/24/2013 04:44:00 AM,VSP: Saint Albans,Drive/Operate Under Influence|Accident - Injury,Sheldon,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,23,1
13C300543,02/25/2013 01:23:00 AM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Injury,Sunderland,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,41,1
13C101125,02/26/2013 04:51:00 AM,VSP: Rutland,Drive/Operate Under Influence|Accident - Injury,Clarendon,Rutland,Rutland,23V1201,VSP: Rutland,Male,21,1
13C101125,02/26/2013 04:51:00 AM,VSP: Rutland,Drive/Operate Under Influence|Accident - Injury,Clarendon,Rutland,Rutland,23V1201,VSP: Rutland,Male,20,1
13A200987,03/01/2013 10:28:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Accident - Property,Swanton,Franklin,Franklin,23V1201,VSP: Saint Albans,Female,29,1
13A300897,03/02/2013 12:50:00 AM,VSP: Middlesex,Accident - Injury|Drive/Operate Under Influence,Orange,Orange,Orange,23V1201,VSP: Middlesex,Male,31,1
13A200990,03/02/2013 01:23:00 AM,VSP: Saint Albans,Drive/Operate Under Influence|Accident - Property,Montgomery,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,32,1
13D200565,03/02/2013 03:30:00 AM,VSP: Brattleboro,Accident - Injury|Drive/Operate Under Influence|Drugs - Possession,Guilford,Windham,Windham,23V1201,VSP: Brattleboro,Male,21,1
13A201038,03/04/2013 07:00:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Accident - Property,Montgomery,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,43,1
13D200588,03/05/2013 03:00:00 AM,VSP: Brattleboro,Accident - Injury|Drive/Operate Under Influence,Brookline,Windham,Windham,23V1201,VSP: Brattleboro,Male,50,1
13C200819,03/09/2013 03:02:00 AM,VSP: New Haven,Drive/Operate Under Influence|Accident - Property,Leicester,Addison,Addison,23V1201,VSP: New Haven,Male,33,1
13A100952,03/10/2013 05:40:00 PM,VSP: Williston,Accident - Property|Drive/Operate Under Influence,Colchester,Chittenden,Chittenden,23V1201,VSP: Williston,Male,48,1
13A301040,03/13/2013 10:41:00 PM,VSP: Middlesex,Drive/Operate Under Influence|DLS|Accident - Injury|Drugs - Possession|Probation/Parole Violation/Check,Calais,Washington,Washington,23V1201,VSP: Middlesex,Male,36,1
13A301063,03/15/2013 04:20:00 PM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Property|Accident - Property,Berlin,Washington,Washington,23V1201,VSP: Middlesex,Female,36,1
13D200679,03/15/2013 05:13:00 PM,VSP: Brattleboro,Accident - Injury|Drive/Operate Under Influence,Whitingham,Windham,Windham,23V1201,VSP: Brattleboro,Female,44,1
13D100807,03/16/2013 12:54:00 AM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Londonderry,Windham,Windham,23V1201,VSP: Rockingham,Male,31,1
13A201236,03/16/2013 02:14:00 AM,VSP: Saint Albans,Accident - Property|Attempting to Elude Police|C&N Operation|Drive/Operate Under Influence|Traffic Stop,St. Albans City,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,19,1
13A201258,03/17/2013 12:41:00 AM,VSP: Saint Albans,Accident - Injury|C&N Operation|Traffic Stop|Drive/Operate Under Influence,Georgia,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,22,1
13A301091,03/17/2013 12:44:00 AM,VSP: Middlesex,Drive/Operate Under Influence|K9|Accident - Property|Accident - Property,Williamstown,Orange,Orange,23V1201,VSP: Middlesex,Female,20,1
13C300747,03/17/2013 03:01:00 AM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Property,Rupert,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,22,1
13C300747,03/17/2013 03:01:00 AM,VSP: Shaftsbury,Accident - Property|Drive/Operate Under Influence,Rupert,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,22,1
13C101557,03/17/2013 05:59:00 PM,VSP: Rutland,Drive/Operate Under Influence|Accident - Property,Benson,Rutland,Rutland,23V1201,VSP: Rutland,Female,27,1
13B200800,03/17/2013 10:00:00 PM,VSP: Derby,Accident - Injury|Drive/Operate Under Influence,Barton,Orleans,Orleans,23V1201,VSP: Derby,Female,42,1
13D100832,03/17/2013 11:53:00 PM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Andover,Windsor,Windsor,23V1201,VSP: Rockingham,Male,34,1
13C101621,03/19/2013 10:29:00 PM,VSP: Rutland,Drive/Operate Under Influence|Accident - Property|Traffic Stop,Pittsford,Rutland,Rutland,23V1201,VSP: Rutland,Male,29,1
13C101644,03/21/2013 02:12:00 AM,VSP: Rutland,Accident - Injury|Drive/Operate Under Influence,Rutland Town,Rutland,Rutland,23V1201,VSP: Rutland,Male,29,1
13A101121,03/21/2013 06:11:00 PM,VSP: Williston,Accident - Property|Drive/Operate Under Influence|Traffic Stop|Traffic Stop,Underhill,Chittenden,Chittenden,23V1201,VSP: Williston,Female,73,1
13A101143,03/23/2013 10:48:00 PM,VSP: Williston,Drive/Operate Under Influence|C&N Operation|Attempting to Elude Police|Accident - Property|Liquor Violations,Essex,Chittenden,Chittenden,23V1201,VSP: Williston,Male,19,1
13C200999,03/24/2013 06:38:00 PM,VSP: New Haven,Accident - Injury|Drive/Operate Under Influence|Other,Weybridge,Addison,Addison,23V1201,VSP: New Haven,Female,23,1
13D200765,03/25/2013 11:33:00 AM,VSP: Brattleboro,Accident - Injury|Drive/Operate Under Influence|C&N Operation|Traffic Stop,Brattleboro,Windham,Windham,23V1201,VSP: Brattleboro,Male,27,1
13D301207,03/27/2013 02:34:00 PM,VSP: Royalton,Accident - Property|Accident - Property|Drive/Operate Under Influence|Vandalism,Hartland,Windsor,Windsor,23V1201,VSP: Royalton,Male,35,1
13A201437,03/30/2013 03:15:00 PM,VSP: Saint Albans,Accident - Property|Accident - Property|Drive/Operate Under Influence|DLS,Fairfield,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,46,1
