Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
16A201956,04/30/2016 01:28:00 AM,VSP: Saint Albans,Drive/Operate Under Influence,St. Albans City,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,41,1
16D301405,04/30/2016 09:16:00 PM,VSP: Royalton,Drive/Operate Under Influence,Bethel,Windsor,Windsor,23V1201,VSP: Royalton,Male,42,1
16A102049,05/01/2016 12:24:00 AM,VSP: Williston,Drive/Operate Under Influence|C&N Operation|Other|Drug Crime - General,Williston,Chittenden,Chittenden,23V1201,VSP: Williston,Male,27,1
16B101376,05/01/2016 12:50:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Female,27,1
16A102059,05/01/2016 09:04:00 PM,VSP: Williston,Drive/Operate Under Influence|Accident - Property,Jericho,Chittenden,Chittenden,23V1201,VSP: Williston,Male,42,1
16C102174,05/03/2016 01:45:00 AM,VSP: Rutland,Drive/Operate Under Influence,Rutland City,Rutland,Rutland,23V1201,VSP: Rutland,Male,42,1
16D201047,05/03/2016 06:51:00 PM,VSP: Other,DLS|Other|Drive/Operate Under Influence|Drugs - Possession,Brattleboro,Windham,Windham,23V1201,VSP: Headquarters,Male,31,1
16D201047,05/03/2016 06:51:00 PM,VSP: Other,DLS|Other|Drive/Operate Under Influence|Drugs - Possession,Brattleboro,Windham,Windham,23V1201,VSP: Headquarters,Male,22,1
16C301404,05/04/2016 06:39:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Property|False Information to Police|C&N Operation,Rupert,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,32,1
16A202044,05/05/2016 02:00:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|DLS|Probation/Parole Violation/Check|Accident - Property,Highgate,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,46,1
16B101436,05/06/2016 01:58:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,22,1
16A102158,05/07/2016 12:00:00 PM,VSP: Williston,Drive/Operate Under Influence|Accident - Property,Cambridge,Lamoille,Lamoille,23V1201,VSP: Williston,Male,62,1
16B101457,05/07/2016 05:44:00 PM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Barnet,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,23,1
16A102163,05/07/2016 05:57:00 PM,VSP: Williston,Drive/Operate Under Influence,Williston,Chittenden,Chittenden,23V1201,VSP: Williston,Male,23,1
16A202078,05/07/2016 07:03:00 PM,VSP: Saint Albans,Drive/Operate Under Influence,St. Albans Town,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,36,1
16C301437,05/07/2016 08:21:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Simple Assault|Other,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,28,1
16C301437,05/07/2016 08:21:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Simple Assault|Other,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,28,1
16A301889,05/08/2016 03:00:00 PM,VSP: Middlesex,Drive/Operate Under Influence,Waitsfield,Washington,Washington,23V1201,VSP: Middlesex,Male,44,1
16D301533,05/09/2016 12:59:00 AM,VSP: Royalton,Accident - Property|Drive/Operate Under Influence,Hartford,Windsor,Windsor,23V1201,VSP: Royalton,Male,30,1
16A202120,05/09/2016 09:41:00 PM,VSP: Saint Albans,Drive/Operate Under Influence,Georgia,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,20,1
16B101486,05/10/2016 04:15:00 AM,VSP: Saint Johnsbury,Accident - Injury|Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Female,25,1
16C102327,05/10/2016 06:22:00 PM,VSP: Rutland,Accident - Injury|Drive/Operate Under Influence,Clarendon,Rutland,Rutland,23V1201A1#4,VSP: Rutland,Male,42,1
16C102327,05/10/2016 06:22:00 PM,VSP: Rutland,Accident - Injury|Drive/Operate Under Influence,Clarendon,Rutland,Rutland,23V1201A1#4,VSP: Rutland,Male,42,1
16D101126,05/11/2016 08:00:00 PM,VSP: Rockingham,Drive/Operate Under Influence,Westminster,Windham,Windham,23V1201A1#2,VSP: Rockingham,Male,24,1
16D101139,05/12/2016 05:48:00 PM,VSP: Rockingham,Traffic Stop|Drive/Operate Under Influence,Westminster,Windham,Windham,23V1201A1#2,VSP: Rockingham,Male,54,1
16B300922,05/12/2016 10:32:00 PM,VSP: Bradford,Drive/Operate Under Influence|Accident - Property,Newbury,Orange,Orange,23V1201,VSP: Bradford,Male,47,1
16A301961,05/13/2016 01:35:00 PM,VSP: Middlesex,Accident - Property|Accident - Property|Drive/Operate Under Influence,Waitsfield,Washington,Washington,23V1201,VSP: Middlesex,Male,28,1
16C102374,05/13/2016 07:37:00 PM,VSP: Rutland,Drive/Operate Under Influence|K9,Chittenden,Rutland,Rutland,23V1201,VSP: Rutland,Female,52,1
16C102374,05/13/2016 07:37:00 PM,VSP: Rutland,Drive/Operate Under Influence|K9,Chittenden,Rutland,Rutland,23V1201,VSP: Rutland,Female,52,1
