Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
Sewage Pump Station,6617,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Caledonia Court House,6344,1126 Main St,St. Johnsbury,357685.00,$57969.27,,,84.30,$125.82,,,22770.00,$76889.78,,,,,,,,,,,,,,,$134984.87,01/01/2013 12:00:00 AM,"1126 Main St
St. Johnsbury, VT
(44.41784532100047, -72.02053940099967)"
NESCF Storage Building,6522,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
128 State St,6023,128 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"128 State St
Montpelier, VT
(44.261562479000474, -72.58188675999963)"
CCWC Main Administration Building,6343,1266 US Rte 5,St. Johnsbury,,,,,823.40,$1499.22,,,,,,,,,,,,,,,,,,,$1499.22,01/01/2012 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Repair & Maintenance,6391,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
9 Baldwin St,6005,9 Baldwin St,Montpelier,7759.00,$1972.43,,,,,,,1140.80,$4080.10,,,,,,,,,,,,,,,$6052.53,01/01/2012 12:00:00 AM,"9 Baldwin St
Montpelier, VT
(44.263066679000474, -72.58306406199966)"
West Cottage,6277,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
NWSCF Maintenance Building,6339,3649 Lower Newton Rd,St. Albans,,,648.00,$1025.74,,,,,,,,,,,,,,,,,,,,,$1025.74,01/01/2013 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
NSCF Living Unit D,6267,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Garage,6447,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
110 State St,6015,110 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"110 State St
Montpelier, VT
(44.26102238800047, -72.57960677099965)"
SSCF Energy Building,6519,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Hanks Building,6372,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NESCF Storage Building,6522,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Remote Radio Building,6244,2490 Ethan Allen Highway,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2490 Ethan Allen Highway
New Haven, VT
(44.08327923000047, -73.17642245699966)"
NESCF Pumphouse,,,St. Johnsbury,,,,,937.60,$1083.55,,,,,,,,,,,,,,,,,,,$1083.55,01/01/2009 12:00:00 AM,"St. Johnsbury, VT
(44.418232048000505, -72.02077559599962)"
Red Barn,6285,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Stanley Hall,6370,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Sewing Building,6375,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Randolph South Information Center,14,"I-89 Southbound, Mile Marker 33.5",Randolph,34922.66,$4115.56,,,,,,,650.30,$2087.96,,,,,,,1.00,$329.00,,,,,,,$6532.52,01/01/2009 12:00:00 AM,"I-89 Southbound, Mile Marker 33.5
Randolph, VT
(43.92281076600045, -72.66551819499966)"
CCWC Dorm,6347,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
B Building Annex/Old Storehouse,6392,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Georgia South Information Center,9828,5800 Rte 89 South,Georgia,43200.00,$5750.64,,,1727.20,$3154.63,,,,,,,,,,,,,,,,,,,$8905.27,01/01/2011 12:00:00 AM,"5800 Rte 89 South
Georgia, VT
(44.70425780400046, -73.10441586099967)"
Shop & Storage,6034,132 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"132 State St
Montpelier, VT
(44.261692764000486, -72.58249672999966)"
Day Care,6255,140 Three Mile Bridge Rd,Middlesex,2726.00,$741.71,,,,,,,802.80,$2886.61,,,,,,,,,,,,,,,$3628.32,01/01/2012 12:00:00 AM,"140 Three Mile Bridge Rd
Middlesex, VT
(44.26352504500045, -72.62377932499965)"
128 State St,6023,128 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"128 State St
Montpelier, VT
(44.261562479000474, -72.58188675999963)"
5 South,6361,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
26 Terrace St,6012,26 Terrace St,Montpelier,127440.00,$16606.38,,,,,,,5135.40,$15966.94,,,,,,,,,,,,,,,$32573.32,01/01/2011 12:00:00 AM,"26 Terrace St
Montpelier, VT
(44.264964103000466, -72.58574674999966)"
CCWC Main Administration Building,6343,1266 US Rte 5,St. Johnsbury,,,,,742.60,$1091.04,,,,,,,,,,,,,,,,,,,$1091.04,01/01/2013 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Public Safety Building,6384,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,3766.70,$12616.26,,,$12616.26,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Stake Shed,6469,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
MVRCF Education,6315,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Admin Building,,,Brandon,26381.73,$3109.03,,,16030.10,$18409.45,,,,,,,,,,,,,,,,,,,$21518.48,01/01/2009 12:00:00 AM,"Brandon, VT
(43.79994246600046, -73.09162926799962)"
Cold Storage (Pole Barn),6281,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
4 Governor Aiken Ave,6002,4 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"4 Governor Aiken Ave
Montpelier, VT
(44.26230391900049, -72.58152314599965)"
B Building,6383,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,91.40,$225.35,,,$225.35,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Shop & Storage,6013,10 Taylor St,Montpelier,,,,,,,,,667.90,$1230.76,,,,,,,,,,,,,,,$1230.76,01/01/2009 12:00:00 AM,"10 Taylor St
Montpelier, VT
(44.25962576800049, -72.57997604299965)"
Waterfront Streetlights,,,Newport,7774.00,$1472.58,,,,,,,,,,,,,,,,,,,,,,,$1472.58,01/01/2012 12:00:00 AM,"Newport, VT
(44.9353364960005, -72.21061830899964)"
10 South,6364,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Park Row Signal,,5 Park Row,Waterbury,2320.00,$558.98,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"5 Park Row
Waterbury, VT
(44.33446407200046, -72.75199758199966)"
NWSCF Program Building,6333,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
112 State St,6011,112 State St,Montpelier,99456.00,$13234.58,,,,,,,,,,,,,,,,,,,,,,,$13234.58,01/01/2010 12:00:00 AM,"112 State St
Montpelier, VT
(44.26109226800048, -72.57991708599963)"
BGS Garage (outside fence),6467,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Building 1710,6201,394 Hegeman Ave,Colchester,28238.00,$4307.68,2422.00,$3369.43,2148.30,$3149.99,,,,,,,,,,,,,,,,,,,$10827.10,01/01/2013 12:00:00 AM,"394 Hegeman Ave
Colchester, VT
(44.5072473780005, -73.14662075999962)"
120 State St,6020,120 State St,Montpelier,1300500.00,$153011.81,,,,,,,,,,,,,,,,,,,,,,,$153011.81,01/01/2011 12:00:00 AM,"120 State St
Montpelier, VT
(44.26140258300046, -72.58124717799967)"
Asa Bloomer Building,6303,88 Merchants Row,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"88 Merchants Row
Rutland, VT
(43.60680073900045, -72.98028660299963)"
Education Building,6446,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Mobil Firing Range,6292,317 Academy Rd,Pittsford,273.00,$232.80,,,,,,,,,,,,,,,,,,,,,,,$232.80,01/01/2011 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Troop Headquarters,6290,1987 Rockingham Rd,Rockingham,122592.00,$16551.57,,,3139.00,$4666.55,,,,,,,,,,,,,,,,,,,$21218.12,01/01/2013 12:00:00 AM,"1987 Rockingham Rd
Rockingham, VT
(43.22609242100049, -72.54181107699964)"
NWSCF Wood Shop,6323,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
NSCF VCI 1,6268,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Remote Radio Building,6244,2490 Ethan Allen Hwy,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"2490 Ethan Allen Hwy
New Haven, VT
(44.08327923000047, -73.17642245699966)"
Office,6019,116 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"116 State St
Montpelier, VT
(44.261191759000496, -72.58032689199968)"
110 State St,6015,110 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"110 State St
Montpelier, VT
(44.26102238800047, -72.57960677099965)"
Dale Building,6365,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Multi-Modal Transit Center,6313,102 West St,Rutland,,,,,11920.90,$20271.22,,,,,,,,,,,,,,,,,,,$20271.22,01/01/2010 12:00:00 AM,"102 West St
Rutland, VT
(43.60789198800046, -72.97954380799968)"
5 Park Row,6380,5 Park Row,Waterbury,,,,,1051.50,$1759.51,,,,,,,,,,,,,,,,,,,$1759.51,01/01/2010 12:00:00 AM,"5 Park Row
Waterbury, VT
(44.33446407200046, -72.75199758199966)"
112 State St,6011,112 State St,Montpelier,107107.00,$14297.25,,,,,,,,,,,,,,,,,,,,,,,$14297.25,01/01/2011 12:00:00 AM,"112 State St
Montpelier, VT
(44.26109226800048, -72.57991708599963)"
NSCF Garage,6533,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
1193 North Ave,,1193 North Ave,Burlington,235956.62,$27806.98,31950.21,$59550.89,,,,,,,,,,,,,,,,,,,,,$87357.87,01/01/2009 12:00:00 AM,"1193 North Ave
Burlington, VT
(44.50803455500045, -73.24642816899967)"
Public Safety Building,6384,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Waterford Welcome Center,17,1270 I-93 Northbound,Waterford,35698.91,$4207.04,,,2949.00,$3643.85,,,,,,,,,,,,,,,,,,,$7850.89,01/01/2009 12:00:00 AM,"1270 I-93 Northbound
Waterford, VT
(44.3435309460005, -71.89139861799964)"
District Court & Office,6070,255 North Main St,Barre,834400.00,$112097.93,,,,,,,,,,,,,,,,,,,,,,,$112097.93,01/01/2012 12:00:00 AM,"255 North Main St
Barre, VT
(44.19962378100047, -72.50424160599965)"
Plate Shop,6455,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
SSCF DEF Building,6517,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
115 State St & Annex,6018,115 State St,Montpelier,,,,,2006.00,$3572.77,,,,,,,,,,,,,,,,,,,$3572.77,01/01/2012 12:00:00 AM,"115 State St
Montpelier, VT
(44.26121367000047, -72.58017538999962)"
Route 5,,,Dummerston,8130.00,$1247.98,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"Dummerston, VT
(42.93153052100047, -72.61215661399967)"
Old Laundry,6385,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Barn,6376,43.5 Randall St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"43.5 Randall St
Waterbury, VT
(44.33871221600049, -72.75730654699964)"
MVRCF Storage,6040,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Public Safety Forensics Lab,6398,103 South Main St,Waterbury,,,,,724.60,$1435.87,,,,,,,,,,,,,,,,,,,$1435.87,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Lumber Drying Shed,6449,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Weeks Building,6367,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NSCF A-2 Admin/Seg/Dining,6263,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
6 Baldwin St,6004,6 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"6 Baldwin St
Montpelier, VT
(44.26280255500046, -72.58220654999963)"
Ag/Environmental Lab,6394,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Headquarters,6308,McKinley Ave Complex,Rutland,228971.68,$26983.82,,,1081.20,$2819.82,,,,,,,,,,,,,,,,,,,$29803.64,01/01/2009 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
50 Cherry St (Former Formac),6175,50 Cherry St,Burlington,303255.35,$35737.99,14719.87,$27435.86,,,,,,,,,,,,,,,,,,,,,$63173.85,01/01/2009 12:00:00 AM,"50 Cherry St
Burlington, VT
(44.47920721000048, -73.21656091299963)"
Waterford Welcome Center,9731,1270 I-93 Northbound,Waterford,31800.00,$4590.99,,,2887.70,$5594.75,,,,,,,,,,,,,,,,,,,$10185.74,01/01/2011 12:00:00 AM,"1270 I-93 Northbound
Waterford, VT
(44.3435309460005, -71.89139861799964)"
Ladd Hall,6369,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Milk Barn,6461,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Derby Welcome Center,9916,1076 Rte I-91 Southbound,Derby,12187.00,$2394.72,,,,,,,203.00,$740.87,,,4.00,$750.00,,,,,,,,,,,$3885.59,01/01/2012 12:00:00 AM,"1076 Rte I-91 Southbound
Derby, VT
(44.95407646900048, -72.13292959899962)"
Troop Headquarters,6400,"464 Marlboro Rd, Rte 9",West Brattleboro,42623.00,$5551.15,,,,,,,1056.00,$3403.86,,,,,,,,,,,,,,,$8955.01,01/01/2011 12:00:00 AM,"464 Marlboro Rd, Rte 9
West Brattleboro, VT
(42.86715236600048, -72.62054588799964)"
Troop Headquarters,6400,"464 Marlboro Rd, Rte 9",West Brattleboro,45827.57,$5400.68,,,,,,,1136.70,$2385.45,,,,,,,,,,,,,,,$7786.13,01/01/2009 12:00:00 AM,"464 Marlboro Rd, Rte 9
West Brattleboro, VT
(42.86715236600048, -72.62054588799964)"
Duxbury Farm, 6602-6607,6102 VT Rte 100,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"6102 VT Rte 100
Duxbury, VT
(44.325547171000494, -72.74907603299965)"
SSCF A Core Building,6514,"700 Charlestown Rd, Rte 11",Springfield,1932724.30,$227767.40,,,129577.00,$137316.60,,,8201.00,$16443.01,,,,,,,,,,,1042.70,$2399.42,,,$383926.43,01/01/2009 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Costello Court House,6173,32 Cherry St,Burlington,1592400.00,$237173.05,89503.00,$84784.24,,,,,,,,,,,,,,,,,146.00,$485.41,,,$322442.70,01/01/2011 12:00:00 AM,"32 Cherry St
Burlington, VT
(44.47918707600047, -73.21705125899967)"
NWSCF Print Shop,6330,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Troop Headquarters,6295,2011 VT Rte 107,Royalton,119866.00,$18546.15,,,170.20,$263.13,,,2503.30,$7938.19,,,,,,,,,,,,,,,$26747.47,01/01/2011 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
Warehouse (behind Firehouse),6284,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
NWSCF Barn,6327,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Wood Storage Shed 1 (outside fence),6464,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
111 State St,6016,111 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"111 State St
Montpelier, VT
(44.26114675100047, -72.57990405799967)"
Firehouse,6272,317 Academy Rd,Pittsford,,,,,8855.10,$13825.57,,,,,,,,,,,,,,,,,,,$13825.57,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
NSCF Grinder Building,6532,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
4 South,6396,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
State Office,6340,US Rte 5,St. Johnsbury,90800.00,$11037.29,,,,,,,1383.80,$4360.08,,,,,,,,,,,53.30,$165.66,,,$15563.03,01/01/2011 12:00:00 AM,"US Rte 5
St. Johnsbury, VT
(44.31861223600049, -72.03756742399963)"
Hartford South Information Center,9,"I-91 Southbound, Mile Marker 68.2",Hartford,31351.00,$4408.57,,,,,,,553.20,$1332.42,,,,,,,,,,,,,,,$5740.99,01/01/2010 12:00:00 AM,"I-91 Southbound, Mile Marker 68.2
Hartford, VT
(43.660620862000485, -72.33879686499967)"
BGS Shed,6472,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Oil Shed,6456,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
6 & 7 North,6355,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Garage,6253,1078 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
4 North,6353,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Training Building & Gym,6276,317 Academy Rd,Pittsford,52830.00,$13191.50,,,,,,,,,,,,,,,,,,,,,,,$13191.50,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Hartford South Information Center,9450,"I-91 Southbound, Mile Marker 68.2",Hartford,77040.00,$11417.58,,,,,,,976.00,$3370.78,,,,,,,11.00,$2870.00,,,,,,,$17658.36,01/01/2013 12:00:00 AM,"I-91 Southbound, Mile Marker 68.2
Hartford, VT
(43.660620862000485, -72.33879686499967)"
Hay Barn,6453,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
8 & 9 North,6356,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Public Safety Building,6242,2490 Ethan Allen Highway,New Haven,152419.00,$23966.23,,,,,,,2101.60,$7682.39,,,,,,,,,,,,,,,$31648.62,01/01/2012 12:00:00 AM,"2490 Ethan Allen Highway
New Haven, VT
(44.08327923000047, -73.17642245699966)"
Pump Station,,,Guilford,48306.95,$5692.87,,,988.70,$1143.05,,,,,,,,,,,,,,,,,,,$6835.92,01/01/2009 12:00:00 AM,"Guilford, VT
(42.81712111100046, -72.57596738699965)"
Heifer Barn,6459,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Garage,6291,1987 Rockingham Rd,Rockingham,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1987 Rockingham Rd
Rockingham, VT
(43.22609242100049, -72.54181107699964)"
Outdoor Firing Range,6283,47 Dorfner Rd,Pittsford,1320.00,$1344.47,,,,,,,,,,,,,,,,,,,,,,,$1344.47,01/01/2013 12:00:00 AM,"47 Dorfner Rd
Pittsford, VT
(43.71704756800045, -73.01799904799964)"
Repair & Maintenance,6391,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Stanley Hall,6370,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,79.00,$194.78,,,$194.78,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NESCF Wood Shed 3,6525,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Garage by Lumber Storage,6388,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
